Employer_No,Effective_From,Effective_To,Status,Tier
100102,2018-11-03,2018-11-04,Open,4
100102,2018-11-05,2018-11-13,Open,4
100102,2018-11-14,2018-11-21,Open,4
100102,2018-11-22,2018-11-26,Open,4
100102,2018-11-27,2018-11-28,Open,4
100102,2018-11-29,2018-12-17,Open,4
100102,2018-12-18,2018-12-20,Open,4
100102,2018-12-21,9999-12-31,Open,4
100688,2013-06-29,2016-05-23,Open,4
100688,2016-05-24,2018-11-02,Open,4
100688,2018-11-03,2018-11-04,Open,4
100688,2018-11-05,2018-11-13,Open,4
100688,2018-11-14,2018-11-21,Open,4
100688,2018-11-22,2018-11-26,Open,4
100688,2018-11-27,2018-11-28,Open,4
100688,2018-11-29,2018-12-17,Open,4
100688,2018-12-18,2018-12-20,Open,4
100688,2018-12-21,9999-12-31,Open,4
100634,2013-10-10,2013-10-25,Open,3
100634,2013-10-26,2016-05-23,Open,3
100634,2016-05-24,2018-11-02,Open,3
100634,2018-11-03,2018-11-04,Open,3
100634,2018-11-05,2018-11-13,Open,3
100634,2018-11-14,2018-11-21,Open,3
100634,2018-11-22,2018-11-26,Open,3
100634,2018-11-27,2018-11-28,Open,3
100634,2018-11-29,2018-12-17,Open,3
100634,2018-12-18,2018-12-20,Open,3
100634,2018-12-21,9999-12-31,Open,3
101000,2012-12-01,2016-05-23,Open,4
101000,2016-05-24,2018-11-02,Open,4
101000,2018-11-03,2018-11-04,Open,4
101000,2018-11-05,2018-11-13,Open,4
101000,2018-11-14,2018-11-21,Open,4
101000,2018-11-22,2018-11-26,Open,4
101000,2018-11-27,2018-11-28,Open,4
101000,2018-11-29,2018-12-17,Open,4
101000,2018-12-18,2018-12-20,Open,4
101000,2018-12-21,9999-12-31,Open,4
100828,2013-12-28,2016-05-23,Open,3
100828,2016-05-24,2018-11-02,Open,3
100828,2018-11-03,2018-11-04,Open,3
100828,2018-11-05,2018-11-13,Open,3
100828,2018-11-14,2018-11-21,Open,3
100828,2018-11-22,2018-11-26,Open,3
100828,2018-11-27,2018-11-28,Open,3
100828,2018-11-29,2018-12-17,Open,3
100828,2018-12-18,2018-12-20,Open,3
100828,2018-12-21,9999-12-31,Open,3
100747,1990-05-01,2016-05-23,Open,4
100747,2016-05-24,9999-12-31,Open,4
100481,2014-06-28,2016-05-23,Open,4
100481,2016-05-24,2018-11-02,Open,4
100481,2018-11-03,2018-11-04,Open,4
100481,2018-11-05,2018-11-13,Open,4
100481,2018-11-14,2018-11-21,Open,4
100481,2018-11-22,2018-11-26,Open,4
100481,2018-11-27,2018-11-28,Open,4
100481,2018-11-29,2018-12-17,Open,4
100481,2018-12-18,2018-12-20,Open,4
100481,2018-12-21,9999-12-31,Open,4
100264,2014-06-28,2016-05-23,Open,4
100264,2016-05-24,2018-11-02,Open,4
100264,2018-11-03,2018-11-04,Open,4
100264,2018-11-05,2018-11-13,Open,4
100264,2018-11-14,2018-11-21,Open,4
100264,2018-11-22,2018-11-26,Open,4
100264,2018-11-27,2018-11-28,Open,4
100264,2018-11-29,2018-12-17,Open,4
100264,2018-12-18,2018-12-20,Open,4
100264,2018-12-21,9999-12-31,Open,4
100706,2014-11-01,2016-05-23,Open,1
100706,2016-05-24,9999-12-31,Open,1
100903,2014-11-29,2015-07-26,Open,4
100903,2015-07-27,2016-05-23,Open,4
100903,2016-05-24,2018-11-02,Open,4
100903,2018-11-03,2018-11-04,Open,4
100903,2018-11-05,2018-11-13,Open,4
100903,2018-11-14,2018-11-21,Open,4
100903,2018-11-22,2018-11-26,Open,4
100903,2018-11-27,2018-11-28,Open,4
100903,2018-11-29,2018-12-17,Open,4
100903,2018-12-18,2018-12-20,Open,4
100903,2018-12-21,9999-12-31,Open,4
100142,2015-04-09,2016-05-23,Open,4
100142,2016-05-24,9999-12-31,Open,4
100381,2015-05-19,2016-05-23,Open,4
100381,2016-05-24,2018-11-02,Open,4
100381,2018-11-03,2018-11-04,Open,4
100381,2018-11-05,2018-11-13,Open,4
100381,2018-11-14,2018-11-21,Open,4
100381,2018-11-22,2018-11-26,Open,4
100381,2018-11-27,2018-11-28,Open,4
100381,2018-11-29,2018-12-17,Open,4
100381,2018-12-18,2018-12-20,Open,4
100381,2018-12-21,9999-12-31,Open,4
100835,2015-05-21,2016-05-23,Open,4
100835,2016-05-24,9999-12-31,Open,4
100846,2015-06-29,2015-07-05,Open,4
100846,2015-07-06,2016-05-23,Open,4
100846,2016-05-24,2018-11-02,Open,4
100846,2018-11-03,2018-11-04,Open,4
100846,2018-11-05,2018-11-13,Open,4
100846,2018-11-14,2018-11-21,Open,4
100846,2018-11-22,2018-11-26,Open,4
100846,2018-11-27,2018-11-28,Open,4
100846,2018-11-29,2018-12-17,Open,4
100846,2018-12-18,2018-12-20,Open,4
100846,2018-12-21,9999-12-31,Open,4
100807,2015-09-08,2015-11-11,Open,4
100807,2015-11-12,2016-02-11,Open,4
100807,2016-02-12,2016-05-23,Open,4
100807,2016-05-24,2018-11-02,Open,4
100807,2018-11-03,2018-11-04,Open,4
100807,2018-11-05,2018-11-13,Open,4
100807,2018-11-14,2018-11-21,Open,4
100807,2018-11-22,2018-11-26,Open,4
100807,2018-11-27,2018-11-28,Open,4
100807,2018-11-29,2018-12-17,Open,4
100807,2018-12-18,2018-12-20,Open,4
100807,2018-12-21,9999-12-31,Open,4
100783,2015-10-15,2016-05-23,Open,3
100783,2016-05-24,2016-11-29,Open,3
100783,2016-11-30,9999-12-31,Open,3
100785,2016-02-03,2016-05-23,Open,4
100785,2016-05-24,2018-11-02,Open,4
100785,2018-11-03,2018-11-04,Open,4
100785,2018-11-05,2018-11-13,Open,4
100785,2018-11-14,2018-11-21,Open,4
100785,2018-11-22,2018-11-26,Open,4
100785,2018-11-27,2018-11-28,Open,4
100785,2018-11-29,2018-12-17,Open,4
100785,2018-12-18,2018-12-20,Open,4
100785,2018-12-21,9999-12-31,Open,4
100808,2016-02-05,2016-05-23,Open,3
100808,2016-05-24,9999-12-31,Open,3
100588,2016-02-11,2016-05-23,Open,4
100588,2016-05-24,9999-12-31,Open,4
100832,2016-03-15,2016-03-23,Open,4
100832,2016-03-24,2016-05-23,Open,4
100832,2016-05-24,2018-11-02,Open,4
100832,2018-11-03,2018-11-04,Open,4
100832,2018-11-05,2018-11-13,Open,4
100832,2018-11-14,2018-11-21,Open,4
100832,2018-11-22,2018-11-26,Open,4
100832,2018-11-27,2018-11-28,Open,4
100832,2018-11-29,2018-12-17,Open,4
100832,2018-12-18,2018-12-20,Open,4
100832,2018-12-21,9999-12-31,Open,4
100833,2016-05-02,2016-05-23,Open,4
100833,2016-05-24,2018-11-02,Open,4
100833,2018-11-03,2018-11-04,Open,4
100833,2018-11-05,2018-11-13,Open,4
100833,2018-11-14,2018-11-21,Open,4
100833,2018-11-22,2018-11-26,Open,4
100833,2018-11-27,2018-11-28,Open,4
100833,2018-11-29,2018-12-17,Open,4
100833,2018-12-18,2018-12-20,Open,4
100833,2018-12-21,9999-12-31,Open,4
100401,1998-08-29,2016-05-23,Open,3
100401,2016-05-24,2017-04-06,Open,3
100401,2017-04-07,9999-12-31,Open,3
100408,2016-05-30,9999-12-31,Open,3
100473,2016-06-29,9999-12-31,Open,3
100753,2016-05-01,9999-12-31,Open,4
100223,2016-11-01,9999-12-31,Open,4
100702,2016-12-21,2017-10-30,Open,1
100702,2017-10-31,9999-12-31,Open,1
100152,2017-01-19,2017-08-25,Open,4
100152,2017-08-26,9999-12-31,Closed,4
100083,2017-01-27,9999-12-31,Open,4
100247,2016-10-01,9999-12-31,Open,2
100604,2017-02-26,2017-02-27,Open,4
100604,2017-02-28,9999-12-31,Open,4
100040,2017-01-01,9999-12-31,Open,4
100378,2017-05-01,2017-09-25,Open,4
100378,2017-09-26,2017-10-18,Closed,3
100378,2017-10-19,9999-12-31,Open,3
100520,2017-01-01,9999-12-31,Open,4
100463,2017-04-01,9999-12-31,Open,4
100507,2016-10-01,9999-12-31,Open,1
100392,2017-06-01,9999-12-31,Open,4
100338,2017-04-01,9999-12-31,Open,4
100836,2017-04-01,9999-12-31,Open,2
100196,2017-09-13,9999-12-31,Open,4
100988,2017-07-01,9999-12-31,Open,4
100277,2018-01-24,9999-12-31,Open,4
100312,2018-01-19,9999-12-31,Open,3
100123,2018-03-16,9999-12-31,Open,2
100594,2018-06-25,9999-12-31,Open,4
100737,2018-04-29,9999-12-31,Open,2
100374,2018-04-01,9999-12-31,Open,4
100995,2018-08-23,9999-12-31,Open,1
100424,2018-08-23,9999-12-31,Open,4
100623,2018-08-26,9999-12-31,Open,4
100826,2018-08-31,9999-12-31,Open,4
100845,2018-10-22,9999-12-31,Open,2
100131,2000-02-26,2011-05-27,Open,4
100131,2011-05-28,2011-07-15,Open,4
100131,2011-07-16,2016-05-23,Open,4
100131,2016-05-24,9999-12-31,Open,4
100209,2002-11-02,2016-05-23,Open,4
100209,2016-05-24,2018-11-02,Open,4
100209,2018-11-03,2018-11-04,Open,4
100209,2018-11-05,2018-11-13,Open,4
100209,2018-11-14,2018-11-21,Open,4
100209,2018-11-22,2018-11-26,Open,4
100209,2018-11-27,2018-11-28,Open,4
100209,2018-11-29,2018-12-17,Open,4
100209,2018-12-18,2018-12-20,Open,4
100209,2018-12-21,9999-12-31,Open,4
100390,2004-01-31,2006-02-10,Open,2
100390,2006-02-11,2007-04-06,Open,2
100390,2007-04-07,2016-05-23,Open,2
100390,2016-05-24,2018-11-02,Open,2
100390,2018-11-03,2018-11-04,Open,2
100390,2018-11-05,2018-11-13,Open,2
100390,2018-11-14,2018-11-21,Open,2
100390,2018-11-22,2018-11-26,Open,2
100390,2018-11-27,2018-11-28,Open,2
100390,2018-11-29,2018-12-17,Open,2
100390,2018-12-18,2018-12-20,Open,2
100390,2018-12-21,9999-12-31,Open,2
100521,2005-03-05,2016-05-23,Open,1
100521,2016-05-24,2016-07-14,Open,1
100521,2016-07-15,2018-11-02,Open,1
100521,2018-11-03,2018-11-04,Open,1
100521,2018-11-05,2018-11-13,Open,1
100521,2018-11-14,2018-11-21,Open,1
100521,2018-11-22,2018-11-26,Open,1
100521,2018-11-27,2018-11-28,Open,1
100521,2018-11-29,2018-12-17,Open,1
100521,2018-12-18,2018-12-20,Open,1
100521,2018-12-21,9999-12-31,Open,1
100898,2005-10-14,2005-10-28,Open,3
100898,2005-10-29,2015-08-18,Open,3
100898,2015-08-19,2016-05-23,Open,3
100898,2016-05-24,2018-11-02,Open,3
100898,2018-11-03,2018-11-04,Open,3
100898,2018-11-05,2018-11-13,Open,3
100898,2018-11-14,2018-11-21,Open,3
100898,2018-11-22,2018-11-26,Open,3
100898,2018-11-27,2018-11-28,Open,3
100898,2018-11-29,2018-12-17,Open,3
100898,2018-12-18,2018-12-20,Open,3
100898,2018-12-21,9999-12-31,Open,3
100460,2006-11-25,2008-07-25,Open,4
100460,2008-07-26,2014-08-08,Open,4
100460,2014-08-09,2016-02-26,Open,4
100460,2016-02-27,2016-05-08,Open,4
100460,2016-05-09,2016-05-23,Open,4
100460,2016-05-24,2018-11-02,Open,4
100460,2018-11-03,2018-11-04,Open,4
100460,2018-11-05,2018-11-13,Open,4
100460,2018-11-14,2018-11-21,Open,4
100460,2018-11-22,2018-11-26,Open,4
100460,2018-11-27,2018-11-28,Open,4
100460,2018-11-29,2018-12-17,Open,4
100460,2018-12-18,2018-12-20,Open,4
100460,2018-12-21,9999-12-31,Open,4
100667,2006-07-01,2016-05-23,Open,3
100667,2016-05-24,2018-11-02,Open,3
100667,2018-11-03,2018-11-04,Open,3
100667,2018-11-05,2018-11-13,Open,3
100667,2018-11-14,2018-11-21,Open,3
100667,2018-11-22,2018-11-26,Open,3
100667,2018-11-27,2018-11-28,Open,3
100667,2018-11-29,2018-12-17,Open,3
100667,2018-12-18,2018-12-20,Open,3
100667,2018-12-21,9999-12-31,Open,3
100412,2007-07-28,2016-05-23,Open,1
100412,2016-05-24,9999-12-31,Open,1
100610,2007-01-27,2008-11-28,Open,4
100610,2008-11-29,2016-05-23,Open,4
100610,2016-05-24,2018-10-31,Closed,4
100610,2018-11-01,2018-11-02,Open,4
100610,2018-11-03,2018-11-04,Open,4
100610,2018-11-05,2018-11-13,Open,4
100610,2018-11-14,2018-11-21,Open,4
100610,2018-11-22,2018-11-26,Open,4
100610,2018-11-27,2018-11-28,Open,4
100610,2018-11-29,2018-12-17,Open,4
100610,2018-12-18,2018-12-20,Open,4
100610,2018-12-21,9999-12-31,Open,4
100969,2009-05-30,2010-05-14,Open,4
100969,2010-05-15,2010-09-24,Open,4
100969,2010-09-25,2012-07-27,Open,4
100969,2012-07-28,2013-10-04,Open,4
100969,2013-10-05,2016-05-23,Open,4
100969,2016-05-24,2018-11-02,Open,4
100969,2018-11-03,2018-11-04,Open,4
100969,2018-11-05,2018-11-13,Open,4
100969,2018-11-14,2018-11-21,Open,4
100969,2018-11-22,2018-11-26,Open,4
100969,2018-11-27,2018-11-28,Open,4
100969,2018-11-29,2018-12-17,Open,3
100969,2018-12-18,2018-12-20,Open,3
100969,2018-12-21,9999-12-31,Open,3
100580,2009-07-28,2016-05-23,Open,4
100580,2016-05-24,2018-11-02,Open,4
100580,2018-11-03,2018-11-04,Open,4
100580,2018-11-05,2018-11-13,Open,4
100580,2018-11-14,2018-11-21,Open,4
100580,2018-11-22,2018-11-26,Open,4
100580,2018-11-27,2018-11-28,Open,4
100580,2018-11-29,2018-12-17,Open,4
100580,2018-12-18,2018-12-20,Open,4
100580,2018-12-21,9999-12-31,Open,4
100812,2009-09-26,2012-12-14,Open,4
100812,2012-12-15,2013-07-05,Open,4
100812,2013-07-06,2016-05-23,Open,4
100812,2016-05-24,2018-11-02,Open,4
100812,2018-11-03,2018-11-04,Open,4
100812,2018-11-05,2018-11-13,Open,4
100812,2018-11-14,2018-11-21,Open,4
100812,2018-11-22,2018-11-26,Open,4
100812,2018-11-27,2018-11-28,Open,4
100812,2018-11-29,2018-12-17,Open,4
100812,2018-12-18,2018-12-20,Open,4
100812,2018-12-21,9999-12-31,Open,4
100200,2009-06-27,2011-08-26,Open,4
100200,2011-08-27,2011-11-18,Open,4
100200,2011-11-19,2016-05-23,Open,4
100200,2016-05-24,2016-07-14,Open,4
100200,2016-07-15,2018-11-02,Open,4
100200,2018-11-03,2018-11-04,Open,4
100200,2018-11-05,2018-11-13,Open,4
100200,2018-11-14,2018-11-21,Open,4
100200,2018-11-22,2018-11-26,Open,4
100200,2018-11-27,2018-11-28,Open,4
100200,2018-11-29,2018-12-17,Open,4
100200,2018-12-18,2018-12-20,Open,4
100200,2018-12-21,9999-12-31,Open,4
100711,2009-06-27,2016-05-23,Open,4
100711,2016-05-24,2018-11-02,Open,4
100711,2018-11-03,2018-11-04,Open,4
100711,2018-11-05,2018-11-13,Open,4
100711,2018-11-14,2018-11-21,Open,4
100711,2018-11-22,2018-11-26,Open,4
100711,2018-11-27,2018-11-28,Open,4
100711,2018-11-29,2018-12-17,Open,4
100711,2018-12-18,2018-12-20,Open,4
100711,2018-12-21,9999-12-31,Open,4
100979,2010-02-27,2012-06-29,Open,3
100979,2012-06-30,2012-10-30,Open,3
100979,2012-10-31,2013-08-02,Open,3
100979,2013-08-03,2014-09-19,Open,3
100979,2014-09-20,2015-05-03,Open,3
100979,2015-05-04,2016-05-23,Open,3
100979,2016-05-24,2018-11-02,Open,3
100979,2018-11-03,2018-11-04,Open,3
100979,2018-11-05,2018-11-13,Open,3
100979,2018-11-14,2018-11-21,Open,3
100979,2018-11-22,2018-11-26,Open,3
100979,2018-11-27,2018-11-28,Open,3
100979,2018-11-29,2018-12-17,Open,3
100979,2018-12-18,2018-12-20,Open,3
100979,2018-12-21,9999-12-31,Open,3
100820,2011-06-25,2016-05-05,Open,4
100820,2016-05-06,2016-05-23,Open,4
100820,2016-05-24,2018-11-02,Open,4
100820,2018-11-03,2018-11-04,Open,4
100820,2018-11-05,2018-11-13,Open,4
100820,2018-11-14,2018-11-21,Open,4
100820,2018-11-22,2018-11-26,Open,4
100820,2018-11-27,2018-11-28,Open,4
100820,2018-11-29,2018-12-17,Open,4
100820,2018-12-18,2018-12-20,Open,4
100820,2018-12-21,9999-12-31,Open,4
100258,2011-03-26,2014-12-19,Open,3
100258,2014-12-20,2016-05-23,Open,3
100258,2016-05-24,2018-11-02,Open,3
100258,2018-11-03,2018-11-04,Open,3
100258,2018-11-05,2018-11-13,Open,3
100258,2018-11-14,2018-11-21,Open,3
100258,2018-11-22,2018-11-26,Open,3
100258,2018-11-27,2018-11-28,Open,3
100258,2018-11-29,2018-12-17,Open,3
100258,2018-12-18,2018-12-20,Open,3
100258,2018-12-21,9999-12-31,Open,3
100613,2011-12-31,2012-01-27,Open,4
100613,2012-01-28,2013-04-12,Open,4
100613,2013-04-13,2013-04-19,Open,4
100613,2013-04-20,2013-05-03,Open,4
100613,2013-05-04,2014-04-18,Open,4
100613,2014-04-19,2016-05-23,Open,4
100613,2016-05-24,2018-11-02,Open,4
100613,2018-11-03,2018-11-04,Open,4
100613,2018-11-05,2018-11-13,Open,4
100613,2018-11-14,2018-11-21,Open,4
100613,2018-11-22,2018-11-26,Open,4
100613,2018-11-27,2018-11-28,Open,4
100613,2018-11-29,2018-12-17,Open,4
100613,2018-12-18,2018-12-20,Open,4
100613,2018-12-21,9999-12-31,Open,4
100678,2012-01-28,2012-04-27,Open,4
100678,2012-04-28,2013-05-31,Open,4
100678,2013-06-01,2014-02-14,Open,4
100678,2014-02-15,2016-05-23,Open,4
100678,2016-05-24,9999-12-31,Open,4
100956,2012-07-28,2016-05-23,Open,4
100956,2016-05-24,2018-11-02,Open,4
100956,2018-11-03,2018-11-04,Open,4
100956,2018-11-05,2018-11-13,Open,4
100956,2018-11-14,2018-11-21,Open,4
100956,2018-11-22,2018-11-26,Open,4
100956,2018-11-27,2018-11-28,Open,4
100956,2018-11-29,2018-12-17,Open,4
100956,2018-12-18,2018-12-20,Open,4
100956,2018-12-21,9999-12-31,Open,4
100948,2012-06-30,2016-05-23,Open,3
100948,2016-05-24,2018-11-02,Open,3
100948,2018-11-03,2018-11-04,Open,3
100948,2018-11-05,2018-11-13,Open,3
100948,2018-11-14,2018-11-21,Open,3
100948,2018-11-22,2018-11-26,Open,3
100948,2018-11-27,2018-11-28,Open,3
100948,2018-11-29,2018-12-17,Open,3
100948,2018-12-18,2018-12-20,Open,3
100948,2018-12-21,9999-12-31,Open,3
100088,2013-04-27,2015-04-08,Open,4
100088,2015-04-09,2015-10-12,Open,4
100088,2015-10-13,2016-05-23,Open,4
100088,2016-05-24,2018-11-02,Open,4
100088,2018-11-03,2018-11-04,Open,4
100088,2018-11-05,2018-11-13,Open,4
100088,2018-11-14,2018-11-21,Open,4
100088,2018-11-22,2018-11-26,Open,4
100088,2018-11-27,2018-11-28,Open,4
100088,2018-11-29,2018-12-17,Open,4
100088,2018-12-18,2018-12-20,Open,4
100088,2018-12-21,9999-12-31,Open,4
100280,2013-06-01,2016-05-23,Open,4
100280,2016-05-24,2018-11-02,Open,4
100280,2018-11-03,2018-11-04,Open,4
100280,2018-11-05,2018-11-13,Open,4
100280,2018-11-14,2018-11-21,Open,4
100280,2018-11-22,2018-11-26,Open,4
100280,2018-11-27,2018-11-28,Open,4
100280,2018-11-29,2018-12-17,Open,4
100280,2018-12-18,2018-12-20,Open,4
100280,2018-12-21,9999-12-31,Open,4
100215,2013-09-04,2014-01-10,Open,4
100215,2014-01-11,2014-03-30,Open,4
100215,2014-03-31,2016-05-23,Open,4
100215,2016-05-24,2018-11-02,Open,4
100215,2018-11-03,2018-11-04,Open,4
100215,2018-11-05,2018-11-13,Open,4
100215,2018-11-14,2018-11-21,Open,4
100215,2018-11-22,2018-11-26,Open,4
100215,2018-11-27,2018-11-28,Open,4
100215,2018-11-29,2018-12-17,Open,4
100215,2018-12-18,2018-12-20,Open,4
100215,2018-12-21,9999-12-31,Open,4
100043,2013-08-31,2016-05-23,Open,4
100043,2016-05-24,2018-11-02,Open,4
100043,2018-11-03,2018-11-04,Open,4
100043,2018-11-05,2018-11-13,Open,4
100043,2018-11-14,2018-11-21,Open,4
100043,2018-11-22,2018-11-26,Open,4
100043,2018-11-27,2018-11-28,Open,4
100043,2018-11-29,2018-12-17,Open,4
100043,2018-12-18,2018-12-20,Open,4
100043,2018-12-21,9999-12-31,Open,4
100491,2014-12-03,2015-06-09,Open,4
100491,2015-06-10,2015-12-09,Open,4
100491,2015-12-10,2016-05-23,Open,4
100491,2016-05-24,2018-11-02,Open,4
100491,2018-11-03,2018-11-04,Open,4
100491,2018-11-05,2018-11-13,Open,4
100491,2018-11-14,2018-11-21,Open,4
100491,2018-11-22,2018-11-26,Open,4
100491,2018-11-27,2018-11-28,Open,4
100491,2018-11-29,2018-12-17,Open,4
100491,2018-12-18,2018-12-20,Open,4
100491,2018-12-21,9999-12-31,Open,4
100415,2014-11-01,2016-05-23,Open,4
100415,2016-05-24,9999-12-31,Open,4
100707,2015-06-17,2016-05-23,Open,3
100707,2016-05-24,2018-11-02,Open,3
100707,2018-11-03,2018-11-04,Open,3
100707,2018-11-05,2018-11-13,Open,3
100707,2018-11-14,2018-11-21,Open,3
100707,2018-11-22,2018-11-26,Open,3
100707,2018-11-27,2018-11-28,Open,3
100707,2018-11-29,2018-12-17,Open,3
100707,2018-12-18,2018-12-20,Open,3
100707,2018-12-21,9999-12-31,Open,3
100679,2015-07-10,2016-05-23,Open,3
100679,2016-05-24,9999-12-31,Open,3
100672,2015-07-17,2016-01-14,Open,2
100672,2016-01-15,2016-05-23,Open,2
100672,2016-05-24,2018-11-02,Open,2
100672,2018-11-03,2018-11-04,Open,2
100672,2018-11-05,2018-11-13,Open,2
100672,2018-11-14,2018-11-21,Open,2
100672,2018-11-22,2018-11-26,Open,2
100672,2018-11-27,2018-11-28,Open,2
100672,2018-11-29,2018-12-17,Open,2
100672,2018-12-18,2018-12-20,Open,2
100672,2018-12-21,9999-12-31,Open,2
100008,2015-03-28,2016-05-23,Open,4
100008,2016-05-24,2017-11-01,Open,4
100008,2017-11-02,2018-11-02,Closed,4
100008,2018-11-03,2018-11-04,Closed,4
100008,2018-11-05,2018-11-13,Closed,4
100008,2018-11-14,2018-11-21,Closed,4
100008,2018-11-22,2018-11-26,Closed,4
100008,2018-11-27,2018-11-28,Closed,4
100008,2018-11-29,2018-12-17,Closed,4
100008,2018-12-18,2018-12-20,Closed,4
100008,2018-12-21,9999-12-31,Closed,4
100352,2016-01-29,2016-01-31,Open,4
100352,2016-02-01,2016-05-23,Open,4
100352,2016-05-24,2018-11-02,Open,4
100352,2018-11-03,2018-11-04,Open,4
100352,2018-11-05,2018-11-13,Open,4
100352,2018-11-14,2018-11-21,Open,4
100352,2018-11-22,2018-11-26,Open,4
100352,2018-11-27,2018-11-28,Open,4
100352,2018-11-29,2018-12-17,Open,4
100352,2018-12-18,2018-12-20,Open,4
100352,2018-12-21,9999-12-31,Open,4
100503,2016-03-31,2016-05-23,Open,4
100503,2016-05-24,9999-12-31,Open,4
100366,2016-05-06,2016-05-23,Open,4
100366,2016-05-24,9999-12-31,Open,4
100918,2016-02-27,2016-05-23,Open,4
100918,2016-05-24,2018-11-02,Open,4
100918,2018-11-03,2018-11-04,Open,4
100918,2018-11-05,2018-11-13,Open,4
100918,2018-11-14,2018-11-21,Open,4
100918,2018-11-22,2018-11-26,Open,4
100918,2018-11-27,2018-11-28,Open,4
100918,2018-11-29,2018-12-17,Open,4
100918,2018-12-18,2018-12-20,Open,4
100918,2018-12-21,9999-12-31,Open,4
100975,2016-06-21,9999-12-31,Open,4
100834,2016-06-30,9999-12-31,Open,4
100086,2016-07-01,9999-12-31,Open,3
100877,2016-08-03,9999-12-31,Open,3
100310,2016-09-01,9999-12-31,Open,4
100741,2016-04-01,2016-10-28,Open,4
100741,2016-10-29,2018-11-02,Open,4
100741,2018-11-03,2018-11-04,Open,4
100741,2018-11-05,2018-11-13,Open,4
100741,2018-11-14,2018-11-21,Open,4
100741,2018-11-22,2018-11-26,Open,4
100741,2018-11-27,2018-11-28,Open,4
100741,2018-11-29,2018-12-17,Open,4
100741,2018-12-18,2018-12-20,Open,4
100741,2018-12-21,9999-12-31,Open,4
100652,2016-09-09,9999-12-31,Open,2
100544,2016-07-01,9999-12-31,Open,4
100743,2016-12-19,9999-12-31,Open,4
100470,2015-07-01,9999-12-31,Open,3
100133,2017-05-22,9999-12-31,Open,4
100908,2017-01-01,9999-12-31,Open,4
100655,2017-06-01,9999-12-31,Open,4
100958,2017-08-10,9999-12-31,Open,4
100815,2017-09-20,2018-03-06,Open,4
100815,2018-03-07,9999-12-31,Closed,4
100624,2017-11-15,9999-12-31,Open,3
100132,2017-12-14,9999-12-31,Open,4
100762,2018-03-09,9999-12-31,Open,4
100147,2018-04-12,9999-12-31,Open,1
100517,2018-06-21,2018-10-03,Open,4
100517,2018-10-04,9999-12-31,Closed,4
100330,2018-06-24,9999-12-31,Open,4
100868,2018-04-27,2018-07-03,Open,4
100868,2018-07-04,9999-12-31,Closed,4
100911,2018-06-30,9999-12-31,Open,1
100994,2018-10-09,2018-10-12,Open,4
100994,2018-10-13,9999-12-31,Open,4
100992,2018-09-01,9999-12-31,Open,4
100157,2018-09-20,9999-12-31,Open,4
100039,1999-03-11,2016-05-23,Open,4
100039,2016-05-24,9999-12-31,Open,4
100739,2000-09-30,2016-05-23,Open,3
100739,2016-05-24,2018-11-02,Open,3
100739,2018-11-03,2018-11-04,Open,3
100739,2018-11-05,2018-11-13,Open,3
100739,2018-11-14,2018-11-21,Open,3
100739,2018-11-22,2018-11-26,Open,3
100739,2018-11-27,2018-11-28,Open,3
100739,2018-11-29,2018-12-17,Open,3
100739,2018-12-18,2018-12-20,Open,3
100739,2018-12-21,9999-12-31,Open,3
100059,2002-08-31,2007-04-20,Open,3
100059,2007-04-21,2012-08-17,Open,3
100059,2012-08-18,2013-01-25,Open,3
100059,2013-01-26,2013-07-19,Open,1
100059,2013-07-20,2014-08-29,Open,1
100059,2014-08-30,2014-11-28,Open,1
100059,2014-11-29,2016-05-23,Open,1
100059,2016-05-24,2018-11-02,Open,1
100059,2018-11-03,2018-11-04,Open,1
100059,2018-11-05,2018-11-13,Open,1
100059,2018-11-14,2018-11-21,Open,1
100059,2018-11-22,2018-11-26,Open,1
100059,2018-11-27,2018-11-28,Open,1
100059,2018-11-29,2018-12-17,Open,1
100059,2018-12-18,2018-12-20,Open,1
100059,2018-12-21,9999-12-31,Open,1
100698,2005-07-30,2011-09-29,Open,4
100698,2011-09-30,2012-03-16,Open,4
100698,2012-03-17,2015-05-04,Open,4
100698,2015-05-05,2016-03-07,Open,4
100698,2016-03-08,2016-05-23,Open,4
100698,2016-05-24,9999-12-31,Open,4
100404,2005-07-30,2005-11-18,Open,3
100404,2005-11-19,2016-05-23,Open,3
100404,2016-05-24,2018-11-02,Open,3
100404,2018-11-03,2018-11-04,Open,3
100404,2018-11-05,2018-11-13,Open,3
100404,2018-11-14,2018-11-21,Open,3
100404,2018-11-22,2018-11-26,Open,3
100404,2018-11-27,2018-11-28,Open,3
100404,2018-11-29,2018-12-17,Open,3
100404,2018-12-18,2018-12-20,Open,3
100404,2018-12-21,9999-12-31,Open,3
100121,2006-12-30,2007-05-11,Open,4
100121,2007-05-12,2016-05-23,Open,4
100121,2016-05-24,2016-08-04,Open,4
100121,2016-08-05,9999-12-31,Open,4
100505,2007-05-22,2011-03-30,Open,4
100505,2011-03-31,2011-07-15,Open,4
100505,2011-07-16,2011-07-29,Open,4
100505,2011-07-30,2012-02-17,Open,4
100505,2012-02-18,2012-02-28,Open,4
100505,2012-02-29,2012-03-23,Open,4
100505,2012-03-24,2012-05-04,Open,4
100505,2012-05-05,2012-10-26,Open,4
100505,2012-10-27,2016-05-23,Open,4
